sigma,m0,a,ell,r
4.0,2.3,0.05000000000000001,2.0,5.0
4.0,2.3,0.05000000000000001,2.0,6.0
4.0,2.3,0.05000000000000001,2.0,7.0
4.0,2.3,0.05000000000000001,2.0,8.0
4.0,2.3,0.05000000000000001,2.0,9.0
4.0,2.3,0.05000000000000001,3.5,5.0
4.0,2.3,0.05000000000000001,3.5,6.0
4.0,2.3,0.05000000000000001,3.5,7.0
4.0,2.3,0.05000000000000001,3.5,8.0
4.0,2.3,0.05000000000000001,3.5,9.0
4.0,2.3,0.05000000000000001,5.0,5.0
4.0,2.3,0.05000000000000001,5.0,6.0
4.0,2.3,0.05000000000000001,5.0,7.0
4.0,2.3,0.05000000000000001,5.0,8.0
4.0,2.3,0.05000000000000001,5.0,9.0
4.0,2.3,0.05000000000000001,6.5,5.0
4.0,2.3,0.05000000000000001,6.5,6.0
4.0,2.3,0.05000000000000001,6.5,7.0
4.0,2.3,0.05000000000000001,6.5,8.0
4.0,2.3,0.05000000000000001,6.5,9.0
4.0,2.3,0.05000000000000001,8.0,5.0
4.0,2.3,0.05000000000000001,8.0,6.0
4.0,2.3,0.05000000000000001,8.0,7.0
4.0,2.3,0.05000000000000001,8.0,8.0
4.0,2.3,0.05000000000000001,8.0,9.0
4.0,2.3,0.07924465962305567,2.0,5.0
4.0,2.3,0.07924465962305567,2.0,6.0
4.0,2.3,0.07924465962305567,2.0,7.0
4.0,2.3,0.07924465962305567,2.0,8.0
4.0,2.3,0.07924465962305567,2.0,9.0
4.0,2.3,0.07924465962305567,3.5,5.0
4.0,2.3,0.07924465962305567,3.5,6.0
4.0,2.3,0.07924465962305567,3.5,7.0
4.0,2.3,0.07924465962305567,3.5,8.0
4.0,2.3,0.07924465962305567,3.5,9.0
4.0,2.3,0.07924465962305567,5.0,5.0
4.0,2.3,0.07924465962305567,5.0,6.0
4.0,2.3,0.07924465962305567,5.0,7.0
4.0,2.3,0.07924465962305567,5.0,8.0
4.0,2.3,0.07924465962305567,5.0,9.0
4.0,2.3,0.07924465962305567,6.5,5.0
4.0,2.3,0.07924465962305567,6.5,6.0
4.0,2.3,0.07924465962305567,6.5,7.0
4.0,2.3,0.07924465962305567,6.5,8.0
4.0,2.3,0.07924465962305567,6.5,9.0
4.0,2.3,0.07924465962305567,8.0,5.0
4.0,2.3,0.07924465962305567,8.0,6.0
4.0,2.3,0.07924465962305567,8.0,7.0
4.0,2.3,0.07924465962305567,8.0,8.0
4.0,2.3,0.07924465962305567,8.0,9.0
4.0,2.3,0.12559432157547903,3.5,5.0
4.0,2.3,0.12559432157547903,3.5,6.0
4.0,2.3,0.12559432157547903,3.5,7.0
4.0,2.3,0.12559432157547903,3.5,8.0
4.0,2.3,0.12559432157547903,3.5,9.0
4.0,2.3,0.12559432157547903,5.0,5.0
