factor,C,R2,beta,m,spaceScale,kappa_lower,kappa_upper,kappa_mid
0.166667,0.166667,15,0.005,1.683239e+27,7,NaN,3.000000,1.500000
0.166667,0.166667,15,0.02,1.683239e+27,7,3.000000,5.000000,4.000000
0.166667,0.166667,15,0.05,1.683239e+27,7,15.000000,NaN,22.500000
0.166667,0.166667,20,0.005,2.244318e+27,5,NaN,3.000000,1.500000
0.166667,0.166667,20,0.02,2.244318e+27,5,5.000000,7.000000,6.000000
0.166667,0.166667,20,0.05,2.244318e+27,5,15.000000,NaN,22.500000
0.166667,0.166667,30,0.005,3.366477e+27,4,3.000000,5.000000,4.000000
0.166667,0.166667,30,0.02,3.366477e+27,4,5.000000,7.000000,6.000000
0.166667,0.166667,30,0.05,3.366477e+27,4,15.000000,NaN,22.500000
0.333333,0.333333,15,0.005,3.366477e+27,7,NaN,5.000000,2.500000
0.333333,0.333333,15,0.02,3.366477e+27,7,3.000000,5.000000,4.000000
0.333333,0.333333,15,0.05,3.366477e+27,7,3.000000,5.000000,4.000000
0.333333,0.333333,20,0.005,4.488636e+27,5,NaN,5.000000,2.500000
0.333333,0.333333,20,0.02,4.488636e+27,5,5.000000,7.000000,6.000000
0.333333,0.333333,20,0.05,4.488636e+27,5,5.000000,7.000000,6.000000
0.333333,0.333333,30,0.005,6.732955e+27,4,NaN,5.000000,2.500000
0.333333,0.333333,30,0.02,6.732955e+27,4,5.000000,7.000000,6.000000
0.333333,0.333333,30,0.05,6.732955e+27,4,5.000000,7.000000,6.000000
0.500000,0.500000,15,0.005,5.049716e+27,7,NaN,7.000000,3.500000
0.500000,0.500000,15,0.02,5.049716e+27,7,NaN,1.500000,0.750000
0.500000,0.500000,15,0.05,5.049716e+27,7,5.000000,7.000000,6.000000
0.500000,0.500000,20,0.005,6.732955e+27,5,NaN,7.000000,3.500000
0.500000,0.500000,20,0.02,6.732955e+27,5,3.000000,5.000000,4.000000
0.500000,0.500000,20,0.05,6.732955e+27,5,5.000000,7.000000,6.000000
0.500000,0.500000,30,0.005,1.009943e+28,4,NaN,7.000000,3.500000
0.500000,0.500000,30,0.02,1.009943e+28,4,5.000000,7.000000,6.000000
0.500000,0.500000,30,0.05,1.009943e+28,4,5.000000,7.000000,6.000000
